Year,SERIES,UNIT_MEASURE,AGE,Value
2000,SH_DYN_NMRTN,NUMBER,M0,282.0
2001,SH_DYN_NMRTN,NUMBER,M0,253.0
2002,SH_DYN_NMRTN,NUMBER,M0,230.0
2003,SH_DYN_NMRTN,NUMBER,M0,213.0
2004,SH_DYN_NMRTN,NUMBER,M0,200.0
2005,SH_DYN_NMRTN,NUMBER,M0,191.0
2006,SH_DYN_NMRTN,NUMBER,M0,186.0
2007,SH_DYN_NMRTN,NUMBER,M0,183.0
2008,SH_DYN_NMRTN,NUMBER,M0,181.0
2009,SH_DYN_NMRTN,NUMBER,M0,177.0
2010,SH_DYN_NMRTN,NUMBER,M0,171.0
2011,SH_DYN_NMRTN,NUMBER,M0,164.0
2012,SH_DYN_NMRTN,NUMBER,M0,156.0
2013,SH_DYN_NMRTN,NUMBER,M0,147.0
2014,SH_DYN_NMRTN,NUMBER,M0,139.0
2015,SH_DYN_NMRTN,NUMBER,M0,131.0
2016,SH_DYN_NMRTN,NUMBER,M0,124.0
2017,SH_DYN_NMRTN,NUMBER,M0,117.0
2018,SH_DYN_NMRTN,NUMBER,M0,111.0
2000,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,6.8
2001,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,6.5
2002,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,6.2
2003,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.9
2004,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.7
2005,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.5
2006,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.4
2007,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.3
2008,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.2
2009,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.2
2010,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,5.1
2011,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.9
2012,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.8
2013,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.6
2014,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.5
2015,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.4
2016,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.3
2017,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.2
2018,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,4.1
